id,objeto,estado,categoria,tipo_procedimiento,comprador,proveedor,monto,moneda,fecha_publicacion,fecha_adjudicacion,fecha_contrato,url_muni
ocds-03ad3f-411413-1,ADQUISICION DE LUBRICANTES PARA CAMIONES Y MAQUINARIAS DE LA DIRECCION DE SERVICIOS URBANOS,complete,goods,Contratación Directa,Municipalidad de Asunción,LUBRICANTES Y CAUCHOS S.A. (LUBRICAUCHO S.A.),160743000,PYG,2022-04-19T14:54:59-04:00,2022-09-20T12:00:00-04:00,2022-10-14T12:00:00-04:00,https://www.contrataciones.gov.py/licitaciones/convocatoria/411413-adquisicion-lubricantes-camiones-maquinarias-direccion-servicios-urbanos-1.html
ocds-03ad3f-396198-1,SERVICIO DE PUBLICACION EN PRENSA ESCRITA Y MEDIOS RADIALES PARA AVISOS INSTITUCIONALES,unsuccessful,services,Contratación Directa,Municipalidad de Asunción,,168000000,PYG,2021-07-02T17:15:32-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/396198-servicio-publicacion-prensa-escrita-medios-radiales-avisos-institucionales-1.html
ocds-03ad3f-369019-1,CONTRATACIÓN DE SEGUROS PARA EL EDIFICIO DEL INSTITUTO MUNICIPAL DE ARTE Y FLOTA DE CAMIONES DE LA DIRECCIÓN DE SERVICIOS URBANOS,complete,services,Licitación Pública Nacional,Municipalidad de Asunción,ASEGURADORA TAJY PROPIEDAD COOPERATIVA S.A. DE SEGUROS ,586000914,PYG,2020-08-26T15:51:21-04:00,2021-07-16T12:00:00-04:00,2021-09-29T12:00:00-04:00,https://www.contrataciones.gov.py/licitaciones/convocatoria/369019-contratacion-seguros-edificio-instituto-municipal-arte-flota-camiones-direccion-serv-1.html
ocds-03ad3f-396198-2,SERVICIO DE PUBLICACION EN PRENSA ESCRITA Y MEDIOS RADIALES PARA AVISOS INSTITUCIONALES,complete,services,Contratación Directa,Municipalidad de Asunción,P&M GROUP S.R.L. ,168000000,PYG,2021-11-26T09:26:37-04:00,2022-05-30T12:00:00-04:00,2022-07-11T12:00:00-04:00,https://www.contrataciones.gov.py/licitaciones/convocatoria/396198-servicio-publicacion-prensa-escrita-medios-radiales-avisos-institucionales-3.html
ocds-03ad3f-423558-1,,planning,,,Municipalidad de Asunción,,,,2023-02-03T15:46:32-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/planned.html
ocds-03ad3f-411781-1,,planning,,,Municipalidad de Asunción,,,,2023-02-17T14:03:12-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/planned.html
ocds-03ad3f-407220-1,,planning,,,Municipalidad de Asunción,,,,2023-02-22T14:09:44-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/planned.html
ocds-03ad3f-413699-1,Adquisición de Alimentos para Personas del JBZA,complete,goods,Contratación Directa,Municipalidad de Asunción,DERLIS RENE SEGOVIA ENCISO,46245150,PYG,2022-05-30T12:45:19-04:00,2022-10-24T12:00:00-04:00,2022-11-18T12:00:00-04:00,https://www.contrataciones.gov.py/licitaciones/convocatoria/413699-adquisicion-alimentos-personas-jbza-1.html
ocds-03ad3f-406790-1,LOCACION DE INMUEBLE DETERMINADOPARA EL CENTRO DE DESARROLLO INFANTIL CONCEJALITOS DE LA JUNTA MUNICPAL DE ASUNCION - PLURIANUAL,complete,services,Locación de Inmuebles,Municipalidad de Asunción,DIEGO CHRISTIAN BORJA TERAN,219555000,PYG,2022-05-17T09:59:30-04:00,2022-06-02T12:42:03-04:00,2022-04-06T12:00:00-04:00,https://www.contrataciones.gov.py/licitaciones/convocatoria/406790-locacion-inmueble-determinadopara-centro-desarrollo-infantil-concejalitos-junta-muni-1.html
ocds-03ad3f-415452-1,Adquisición de Electrodomésticos,complete,goods,Contratación Directa,Municipalidad de Asunción,VICTOR HERIBERTO BLANCO VARGAS,9000000,PYG,2022-09-05T07:36:57-04:00,2022-11-29T12:00:00-04:00,2023-02-17T12:00:00-04:00,https://www.contrataciones.gov.py/licitaciones/convocatoria/415452-adquisicion-electrodomesticos-1.html
ocds-03ad3f-427219-1,,planning,,,Municipalidad de Asunción,,,,2023-03-06T15:30:52-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/planned.html
ocds-03ad3f-426935-1,,planning,,,Municipalidad de Asunción,,,,2023-03-06T15:30:52-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/planned.html
ocds-03ad3f-425054-1,,planning,,,Municipalidad de Asunción,,,,2023-03-06T15:30:52-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/planned.html
ocds-03ad3f-425103-1,,planning,,,Municipalidad de Asunción,,,,2023-03-06T15:30:52-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/planned.html
ocds-03ad3f-427213-1,,planning,,,Municipalidad de Asunción,,,,2023-03-06T15:30:52-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/planned.html
ocds-03ad3f-422757-1,,planning,,,Municipalidad de Asunción,,,,2023-03-06T15:30:52-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/planned.html
ocds-03ad3f-425072-1,,planning,,,Municipalidad de Asunción,,,,2023-03-06T15:30:52-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/planned.html
ocds-03ad3f-425086-1,,planning,,,Municipalidad de Asunción,,,,2023-03-06T15:30:52-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/planned.html
ocds-03ad3f-425861-1,,planning,,,Municipalidad de Asunción,,,,2023-03-13T09:54:19-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/planned.html
ocds-03ad3f-427168-1,,planning,,,Municipalidad de Asunción,,,,2023-03-06T15:30:52-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/planned.html
ocds-03ad3f-423820-1,,planning,,,Municipalidad de Asunción,,,,2023-03-06T12:06:02-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/planned.html
ocds-03ad3f-427211-1,,planning,,,Municipalidad de Asunción,,,,2023-03-06T15:30:52-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/planned.html
ocds-03ad3f-427265-1,,planning,,,Municipalidad de Asunción,,,,2023-03-07T13:18:48-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/planned.html
ocds-03ad3f-427169-1,,planning,,,Municipalidad de Asunción,,,,2023-03-06T15:30:52-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/planned.html
ocds-03ad3f-425716-1,,planning,,,Municipalidad de Asunción,,,,2023-03-13T09:54:19-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/planned.html
ocds-03ad3f-425067-1,,planning,,,Municipalidad de Asunción,,,,2023-03-06T15:30:52-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/planned.html
ocds-03ad3f-427171-1,,planning,,,Municipalidad de Asunción,,,,2023-03-06T15:30:52-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/planned.html
ocds-03ad3f-421859-1,,planning,,,Municipalidad de Asunción,,,,2023-03-06T15:30:52-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/planned.html
ocds-03ad3f-425074-1,,planning,,,Municipalidad de Asunción,,,,2023-03-06T15:30:52-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/planned.html
ocds-03ad3f-426919-1,,planning,,,Municipalidad de Asunción,,,,2023-03-06T15:30:52-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/planned.html
ocds-03ad3f-425085-1,,planning,,,Municipalidad de Asunción,,,,2023-03-06T15:30:52-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/planned.html
ocds-03ad3f-425112-1,,planning,,,Municipalidad de Asunción,,,,2023-03-06T15:30:52-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/planned.html
ocds-03ad3f-427262-1,,planning,,,Municipalidad de Asunción,,,,2023-03-07T13:18:48-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/planned.html
ocds-03ad3f-423913-1,,planning,,,Municipalidad de Asunción,,,,2023-03-06T15:56:34-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/planned.html
ocds-03ad3f-425108-1,,planning,,,Municipalidad de Asunción,,,,2023-03-06T15:30:52-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/planned.html
ocds-03ad3f-427176-1,,planning,,,Municipalidad de Asunción,,,,2023-03-06T15:30:52-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/planned.html
ocds-03ad3f-425079-1,,planning,,,Municipalidad de Asunción,,,,2023-03-06T15:58:19-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/planned.html
ocds-03ad3f-426901-1,,planning,,,Municipalidad de Asunción,,,,2023-03-06T15:30:52-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/planned.html
ocds-03ad3f-427312-1,,planning,,,Municipalidad de Asunción,,,,2023-03-07T13:18:48-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/planned.html
ocds-03ad3f-425106-1,,planning,,,Municipalidad de Asunción,,,,2023-03-06T15:30:52-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/planned.html
ocds-03ad3f-426916-1,,planning,,,Municipalidad de Asunción,,,,2023-03-06T15:30:52-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/planned.html
ocds-03ad3f-427179-1,,planning,,,Municipalidad de Asunción,,,,2023-03-06T15:30:52-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/planned.html
ocds-03ad3f-425786-1,,planning,,,Municipalidad de Asunción,,,,2023-03-13T09:54:19-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/planned.html
ocds-03ad3f-427173-1,,planning,,,Municipalidad de Asunción,,,,2023-03-06T15:30:52-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/planned.html
ocds-03ad3f-427263-1,,planning,,,Municipalidad de Asunción,,,,2023-03-07T13:18:48-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/planned.html
ocds-03ad3f-427313-1,,planning,,,Municipalidad de Asunción,,,,2023-03-07T13:18:48-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/planned.html
ocds-03ad3f-427212-1,,planning,,,Municipalidad de Asunción,,,,2023-03-06T15:30:52-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/planned.html
ocds-03ad3f-404493-1,ADQUISICION DE PINTURA VIAL PARA LA DIRECCION DE VIALIDAD - PLURIANUAL,complete,goods,Licitación Pública Nacional,Municipalidad de Asunción,JOSE ARNALDO PEREIRA CARDENA,1029028000,PYG,2022-09-13T14:58:31-04:00,2022-12-30T12:00:00-04:00,2023-01-27T12:00:00-04:00,https://www.contrataciones.gov.py/licitaciones/convocatoria/404493-adquisicion-pintura-vial-direccion-vialidad-plurianual-1.html
