ejercicio,nivel,denominacion,presupuesto_vigente,obligado,porcentaje_ejecucion,fuente,url
2024,100,Servicios Personales,788089.0,727234.0,92.28,Rendición de Cuentas 2024,https://www.asuncion.gov.py/wp-content/uploads/2025/08/Rendicion-de-Cuentas-2024.pdf
2024,200,Servicios No Personales,232517.0,114346.0,49.18,Rendición de Cuentas 2024,https://www.asuncion.gov.py/wp-content/uploads/2025/08/Rendicion-de-Cuentas-2024.pdf
2024,300,Bienes Cambio e Insumos,205890.0,79754.0,38.74,Rendición de Cuentas 2024,https://www.asuncion.gov.py/wp-content/uploads/2025/08/Rendicion-de-Cuentas-2024.pdf
2024,500,Inversión Física,840990.0,104964.0,12.48,Rendición de Cuentas 2024,https://www.asuncion.gov.py/wp-content/uploads/2025/08/Rendicion-de-Cuentas-2024.pdf
2024,700,Servicio de la Deuda Pública,134231.0,134231.0,100.0,Rendición de Cuentas 2024,https://www.asuncion.gov.py/wp-content/uploads/2025/08/Rendicion-de-Cuentas-2024.pdf
2024,800,Transferencias,134272.0,,,Rendición de Cuentas 2024,https://www.asuncion.gov.py/wp-content/uploads/2025/08/Rendicion-de-Cuentas-2024.pdf
2024,900,Otros Gastos,24179.0,5301.0,21.92,Rendición de Cuentas 2024,https://www.asuncion.gov.py/wp-content/uploads/2025/08/Rendicion-de-Cuentas-2024.pdf
2024,TOTAL,TOTAL GENERAL,2360168.0,1165830.0,49.4,Rendición de Cuentas 2024,https://www.asuncion.gov.py/wp-content/uploads/2025/08/Rendicion-de-Cuentas-2024.pdf
