id,objeto,estado,categoria,tipo_procedimiento,comprador,proveedor,monto,moneda,fecha_publicacion,fecha_adjudicacion,fecha_contrato,url_muni
ocds-03ad3f-445885-1,ADQUISICION DE LUBRICANTES PARA VEHICULOS Y MAQUINARIAS DE LA DIRECCION DE SERVICIOS URBANOS,complete,services,Menor cuantía nacional,Municipalidad de Asunción,LUBRICANTES Y CAUCHOS S.A. (LUBRICAUCHO S.A.),413127960,PYG,2024-10-09T20:25:31-04:00,2025-02-20T00:00:00-04:00,,https://www.contrataciones.gov.py/licitaciones/convocatoria/1ef7a787-f3a1-67f0-94da-714eb279e992.html
ocds-03ad3f-455096-1,ADQUISICIÓN DE REPUESTOS PARA ELÁSTICOS PARA LA DIRECCIÓN DE SERVICIOS URBANOS,complete,services,Menor cuantía nacional,Municipalidad de Asunción,JUAN RODRIGUEZ,500000000,PYG,2024-10-15T14:01:08-04:00,2025-02-12T00:00:00-04:00,,https://www.contrataciones.gov.py/licitaciones/convocatoria/1ef76966-7539-67fa-b581-47b04f79140c.html
ocds-03ad3f-453456-1,ADQUISICION DE HILO PARA DESMALEZADORAS DE LA DIRECCION DE SERVICIOS URBANOS,complete,services,Menor cuantía nacional,Municipalidad de Asunción,JOSE ARNALDO PEREIRA CARDENA,74250000,PYG,2024-10-09T09:47:28-04:00,2025-01-27T00:00:00-04:00,,https://www.contrataciones.gov.py/licitaciones/convocatoria/1ef5feb0-bca0-6cbe-b476-cbdcb336cd12.html
ocds-03ad3f-455389-1,ADQUISICION DE PODADORA DE ALTURA PARA LA DIRECCION DE PROMOCION DE LA PARTICIPACION CIUDADANA,unsuccessful,services,Menor cuantía nacional,Municipalidad de Asunción,,58376004,PYG,2025-03-12T13:51:01-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/1ef7a905-6587-6210-82c7-efdb34f4a656.html
ocds-03ad3f-433126-1,ADQUISICION DE UNIFORMES PARA LA POLICIA MUNICIPAL DE TRANSITO - AD REFERENDUM - PLURIANUAL,complete,goods,Licitación Pública Nacional,Municipalidad de Asunción,SALOTEX S.R.L.,1059210700,PYG,2024-01-09T10:06:14-04:00,2024-12-18T12:00:00-04:00,2025-02-10T12:00:00-04:00,https://www.contrataciones.gov.py/licitaciones/convocatoria/433126-adquisicion-uniformes-policia-municipal-transito-ad-referendum-plurianual-1.html
ocds-03ad3f-453773-1,REFACCION DE LA PLAZA SANTA TERESA,unsuccessful,works,Menor cuantía nacional,Municipalidad de Asunción,,520203730,PYG,2025-03-10T08:39:35-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/1ef660d9-b71e-60da-a9c1-05eb78c0214d.html
ocds-03ad3f-460406-1,SERVICIO DE DESPACHO ADUANERO,unsuccessful,goods,Menor cuantía nacional,Municipalidad de Asunción,,279685047,PYG,2025-03-06T15:25:39-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/1efe93c0-9ab0-648a-98d8-9fb1ee0649a1.html
ocds-03ad3f-425852-1,CD N° 10/2023 PROVISION DE COMPRESORES DE AIRE ACONDICIONADO PARA LA JUNTA MUNICIPAL DE ASUNCION - AD REFERENDUM,complete,goods,Contratación Directa,Municipalidad de Asunción,Hery Ramon Nuñez Ramos,111626800,PYG,2023-10-27T17:08:47-04:00,2025-03-31T12:00:00-04:00,2025-05-07T12:00:00-04:00,https://www.contrataciones.gov.py/licitaciones/convocatoria/425852-cd-n-10-2023-provision-compresores-aire-acondicionado-junta-municipal-asuncion-1.html
ocds-03ad3f-452065-1,ADQUISICION DE MINI PALA CARGADORA PARA LA DIRECCION DE SERVICIOS URBANOS,complete,services,Menor cuantía nacional,Municipalidad de Asunción,,497765070,PYG,2025-03-14T12:23:36-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/1ef4519b-b468-60c4-bc32-0135d6c39a78.html
ocds-03ad3f-410089-1,ADQUISICION DE UNIFORMES PARA FUNCIONARIOS MUNICIPALES - PLURIANUAL,complete,goods,Licitación Pública Nacional,Municipalidad de Asunción,SALLUSTRO Y COMPAÑIA S.A.,3541845600,PYG,2023-08-04T09:21:26-04:00,2024-02-27T12:00:00-04:00,2025-03-14T12:00:00-04:00,https://www.contrataciones.gov.py/licitaciones/convocatoria/410089-adquisicion-uniformes-funcionarios-municipales-plurianual-1.html
