id,objeto,estado,categoria,tipo_procedimiento,comprador,valor_estimado,monto_adjudicado,monto_contratado,moneda,n_adjudicaciones,n_proveedores,proveedor,proveedores,fecha_publicacion,fecha_adjudicacion,fecha_contrato,url_muni
ocds-03ad3f-436193-1,ADQUISICION DE ELECTRODOMESTICOS PARA GUARDERIAS Y COMEDORES MUNICIPALES - AD REFERENDUM,complete,goods,Contratación Directa,Municipalidad de Asunción,49195336,19447600,22300000,PYG,1,1,IMUT SA (IMPORTADORA DE UTILIDADES SA),IMUT SA (IMPORTADORA DE UTILIDADES SA),2024-01-02T13:48:31-04:00,2024-06-05T12:00:00-04:00,2024-07-02T12:00:00-04:00,https://www.contrataciones.gov.py/licitaciones/convocatoria/436193-adquisicion-electrodomesticos-guarderias-comedores-municipales-ad-referendum-1.html
ocds-03ad3f-425791-1,"CD N° 04/2023 ADQUISICION DE TINTAS Y TONER PARA LA JUNTA MUNICIPAL DE ASUNCION , DEFENSORIA MUNICIPAL Y JUZGADO DE FALTAS",complete,goods,Contratación Directa,Municipalidad de Asunción,163068000,130454400,130454400,PYG,1,1,RODRIGO JOEL ZACARIAS VAZQUEZ ,RODRIGO JOEL ZACARIAS VAZQUEZ ,2023-10-11T12:22:23-04:00,2023-12-26T12:00:00-04:00,2024-05-22T12:00:00-04:00,https://www.contrataciones.gov.py/licitaciones/convocatoria/425791-cd-n-04-2023-adquisicion-tintas-toner-junta-municipal-asuncion-defensoria-municipal-1.html
ocds-03ad3f-427271-1,ADQUISICIÓN DE LECHE PARA OBREROS DE LA TERMINAL DE OMNIBUS DE ASUNCIÓN ,complete,goods,Contratación Directa,Municipalidad de Asunción,192185000,179180000,179180000,PYG,1,1,COOPERATIVA COLONIAS UNIDAS AGROPECUARIA IND. LTDA.,COOPERATIVA COLONIAS UNIDAS AGROPECUARIA IND. LTDA.,2023-10-13T18:27:19-04:00,2023-12-18T12:00:00-04:00,2024-05-22T12:00:00-04:00,https://www.contrataciones.gov.py/licitaciones/convocatoria/427271-adquisicion-leche-obreros-terminal-omnibus-asuncion-1.html
ocds-03ad3f-451163-1,"SERVICIO DE CATERING Y REFRIGERIO PARA EVENTOS DE LA ""18ª CAPACITACION EN FORMULACION DE PROYECTOS REGIONALES DE LA DIRECCION DE RELACIONES INTERNACIONALES Y COOPERACION EXTERNA DE LA MUNICIPALIDAD DE ASUNCION""",unsuccessful,goods,Menor cuantía nacional,Municipalidad de Asunción,108422990,,,PYG,0,0,,,2024-07-22T15:06:32-04:00,,,https://www.contrataciones.gov.py/licitaciones/convocatoria/1ef2e6e0-54f5-6992-b398-4147b61a60bf.html
ocds-03ad3f-437237-1,SERVICIO DE CONSULTORIA DE COMUNICACION ESTRATEGICA Y PRODUCCION DE MATERIALES AUDIOVISUALES PARA EL PLAN MAESTRO DE TRANSITO - AD REFERENDUM,complete,services,Contratación Directa,Municipalidad de Asunción,180000000,180000000,180000000,PYG,1,1,ANTONIO OJEDA BURGOS,ANTONIO OJEDA BURGOS,2024-01-16T09:33:49-04:00,2024-06-05T12:00:00-04:00,2024-07-03T12:00:00-04:00,https://www.contrataciones.gov.py/licitaciones/convocatoria/437237-servicio-consultoria-comunicacion-estrategica-produccion-materiales-audiovisuales-pl-1.html
ocds-03ad3f-435604-1,ADQUISICION DE ADITIVOS PARA CAMIONES DE LA DIRECCION DE SERVICIOS URBANOS - AD REFERENDUM,complete,goods,Contratación Directa,Municipalidad de Asunción,172770000,147000000,147000000,PYG,1,1,AUTOMOTIVE SA IMPORTADORA Y EXPORTADORA,AUTOMOTIVE SA IMPORTADORA Y EXPORTADORA,2023-12-06T15:19:08-04:00,2024-06-05T12:00:00-04:00,2024-07-01T12:00:00-04:00,https://www.contrataciones.gov.py/licitaciones/convocatoria/435604-adquisicion-aditivos-camiones-direccion-servicios-urbanos-ad-referendum-1.html
ocds-03ad3f-429880-2,ADQUISICION DE FUMIGADORAS PARA LA DIRECCION GENERAL DE AREA SOCIAL - AD REFERENDUM - 2dO. llamado,complete,goods,Contratación Directa,Municipalidad de Asunción,67851278,21985480,21985480,PYG,1,1,EMPORIO FERRETERIA S.R.L.,EMPORIO FERRETERIA S.R.L.,2024-01-02T11:13:29-04:00,2024-07-29T12:00:00-04:00,2024-08-23T12:00:00-04:00,https://www.contrataciones.gov.py/licitaciones/convocatoria/429880-adquisicion-fumigadoras-direccion-general-area-social-ad-referendum-2do-llamado-3.html
ocds-03ad3f-435738-1,CONTRATACION DE SEGUROS PARA EL EDIFICIO DEL INSTITUTO MUNICIPAL DE ARTE Y FLOTA DE CAMIONES DE LA DIRECCION DE SERVICIOS URBANOS - AD REFERENDUM,complete,services,Concurso de Ofertas,Municipalidad de Asunción,664869563,664869563,664869563,PYG,1,1,ASEGURADORA TAJY PROPIEDAD COOPERATIVA S.A. DE SEGUROS ,ASEGURADORA TAJY PROPIEDAD COOPERATIVA S.A. DE SEGUROS ,2024-01-22T08:14:59-04:00,2024-05-23T12:00:00-04:00,2024-06-07T12:00:00-04:00,https://www.contrataciones.gov.py/licitaciones/convocatoria/435738-contratacion-seguros-edificio-instituto-municipal-arte-flota-camiones-direccion-serv-1.html
ocds-03ad3f-425877-1,ADQUISICION DE RETROEXCAVADORA PARA LA DSU,complete,goods,Concurso de Ofertas,Municipalidad de Asunción,753865810,575000000,575000000,PYG,1,1,PROYEC S.A.E,PROYEC S.A.E,2023-08-03T16:27:45-04:00,2024-05-07T12:00:00-04:00,2024-07-22T12:00:00-04:00,https://www.contrataciones.gov.py/licitaciones/convocatoria/425877-adquisicion-retroexcavadora-dsu-1.html
ocds-03ad3f-437476-1,ADQUISICION DE PRECINTAS DE SEGURIDAD PARA LA DIRECCION DE SERVICIOS URBANOS - AD REFERENDUM,complete,goods,Contratación Directa,Municipalidad de Asunción,87390800,87388000,87388000,PYG,1,1,PRESTIGIO DEL SUR S.R.L,PRESTIGIO DEL SUR S.R.L,2023-11-30T07:46:32-04:00,2024-07-16T12:00:00-04:00,2024-08-22T12:00:00-04:00,https://www.contrataciones.gov.py/licitaciones/convocatoria/437476-adquisicion-precintas-seguridad-direccion-servicios-urbanos-ad-referendum-1.html
